Identificador do processo de viagem,Distancia_Notebook,Emissoes_Notebook,Distancia_Baseline,Emissoes_Baseline,Distancia_Itinerario,Diferenca_Distancia,Diferenca_Emissoes,Abs_Dif_Distancia,Perc_Dif_Emissoes,Dif_Dist_Notebook_vs_Itinerario
000000000000019109127,2129.5931,389.4373,2100.4987,384.1168,,29.0944,5.3205,29.0944,0.0139,
000000000000019109815,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019110466,3161.8634,578.2079,3136.7789,573.6207,,25.0846,4.5872,25.0846,0.008,
000000000000019112399,2977.6605,544.5228,2931.0937,536.0072,,46.5668,8.5156,46.5668,0.0159,
000000000000019119044,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019119278,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019119322,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019122653,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019123862,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019124091,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019127610,592.2125,161.4234,558.1389,152.1357,,34.0735,9.2877,34.0735,0.061,
000000000000019128220,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019132757,3906.8197,781.7867,3882.7346,710.0332,,24.0851,71.7535,24.0851,0.1011,
000000000000019133755,971.8892,177.7287,973.4693,265.3451,,-1.5802,-87.6164,1.5802,0.3302,
000000000000019133964,971.8892,177.7287,973.4693,265.3451,,-1.5802,-87.6164,1.5802,0.3302,
000000000000019140654,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019144173,4173.2572,835.103,4164.6738,761.5912,,8.5834,73.5118,8.5834,0.0965,
000000000000019145555,2157.4348,394.5287,2163.0733,395.5598,,-5.6385,-1.0311,5.6385,0.0026,
000000000000019146238,2157.4348,394.5287,2163.0733,395.5598,,-5.6385,-1.0311,5.6385,0.0026,
000000000000019147252,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019147264,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019157213,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019158173,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019159155,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
